epoch,trainLoss,trainError,valLoss,valError
0,37.91919449566288,0.938558786346397,35.73893742140202,0.98005698005698
1,34.47263061870667,0.895385587863464,34.51623065655048,0.9743589743589743
2,32.40838182451752,0.856637168141593,32.504440264144854,0.9230769230769231
3,30.28758694809095,0.816055625790139,30.636897942958733,0.9002849002849003
4,28.867709501051873,0.7717446270543615,30.805380840247174,0.8888888888888888
5,27.200025328432414,0.7261694058154236,27.593044878750444,0.8205128205128205
6,25.860413510097114,0.6803413400758533,25.901348103145587,0.7578347578347578
7,24.783834155983328,0.6388116308470291,25.528039742059516,0.7378917378917379
8,23.336107298878744,0.5921618204804046,25.347987987377024,0.7378917378917379
9,22.360459734004007,0.5513274336283186,23.72477500459068,0.6780626780626781
10,21.71275012357497,0.5251580278128951,22.522934220794937,0.650997150997151
11,20.553103229701144,0.49108723135271803,22.52220440725995,0.6353276353276354
12,20.033751287834082,0.45815423514538556,21.29882169109464,0.5641025641025641
13,19.3689572002734,0.4359039190897598,20.248987007684516,0.5427350427350428
14,18.084575601956335,0.3932996207332491,21.69277475905894,0.6025641025641026
15,17.91036240183448,0.38293299620733245,19.340732128871473,0.5
16,16.886089097323218,0.34664981036662457,19.75660805552773,0.50997150997151
17,17.131753281546303,0.34627054361567633,18.916893744400763,0.47720797720797725
18,16.43803612941737,0.3256637168141593,19.188589677511796,0.47435897435897434
19,15.93753117007944,0.3089127686472819,18.276864271897537,0.4487179487179487
20,15.83710960552153,0.30139064475347666,18.897030843968405,0.4672364672364673
21,15.060739603054659,0.2764222503160556,17.25197355699675,0.41025641025641024
22,14.660441889805076,0.26049304677623264,16.8361983122649,0.3746438746438746
23,14.002328626726731,0.24443742098609356,18.015766719807246,0.44729344729344733
24,14.518840755072013,0.25120101137800255,17.040583249170897,0.38888888888888884
25,13.846476822285224,0.23147914032869787,16.397324238747274,0.36752136752136755
26,13.427438361726127,0.21384323640960812,16.929785225805734,0.3846153846153846
27,13.170836055866536,0.20878634639696592,16.2039630813816,0.34900284900284906
28,13.438798292909953,0.21409608091024024,14.690436425711694,0.3162393162393162
29,12.78811705067245,0.19279393173198478,17.998821551983173,0.39458689458689455
30,12.545183931198796,0.1916561314791403,14.890128372061966,0.3262108262108262
31,12.081359302892094,0.18027812895069528,15.095466744186531,0.3390313390313391
32,12.138257723782969,0.1742098609355247,15.28893875600266,0.3205128205128205
33,11.579405519121366,0.16333754740834383,13.130616190766338,0.26353276353276356
34,11.144555574361654,0.1490518331226296,13.284063529424857,0.2621082621082621
35,11.230590248349042,0.14854614412136535,14.14898507751291,0.2991452991452992
36,10.786230925452694,0.14203539823008848,14.418664742059518,0.292022792022792
37,10.957216461991841,0.1446902654867257,14.96047225908676,0.30056980056980054
38,10.616658488778791,0.1329962073324905,14.57260879560074,0.29059829059829057
39,10.24192693254589,0.12395701643489254,15.488053433236233,0.3162393162393162
40,6.797507246526243,0.05126422250316054,10.27179920163929,0.1737891737891738
41,5.110574210609407,0.029962073324905192,9.609112481446008,0.16096866096866091
42,4.52957056506093,0.02345132743362832,9.293392556345362,0.16239316239316237
43,4.18540399385011,0.022187104930467716,9.189249174547331,0.15954415954415957
44,3.9082203407504617,0.017888748419721878,9.311702663062984,0.15384615384615385
45,3.7474442952200677,0.016814159292035447,9.262802037078771,0.13817663817663817
46,3.435366130327304,0.014475347661188409,8.960736972993596,0.14672364672364668
47,3.2837248181271943,0.012895069532237624,8.951125044428725,0.14387464387464388
48,3.202301728167817,0.012579013906447556,8.65511259530005,0.13817663817663817
49,3.060832732606929,0.010872313527180766,8.669773014861974,0.1339031339031339
50,3.0423750386075334,0.010240202275600518,8.953133161930618,0.1495726495726496
51,2.842932615328378,0.009292035398230092,8.8688880507423,0.14387464387464388
52,2.81162144308898,0.00878634639696585,8.42773562482959,0.13960113960113962
53,2.739067339264186,0.007901390644753481,8.690257678344379,0.14102564102564108
54,2.5807478037857075,0.006257901390644749,8.58509265867054,0.13817663817663817
55,2.5633947261516123,0.006763590391908991,8.631240333926645,0.13960113960113962
56,2.465085730631041,0.006384323640960754,8.730244356682498,0.14245014245014243
57,2.456734494041703,0.00651074589127687,8.574719534979927,0.1339031339031339
58,2.3489377335863075,0.005120101137800259,8.501737513093866,0.1310541310541311
59,2.2705120133690526,0.005436156763590438,8.615826229084592,0.14102564102564108
